doc_id,permit_num,code,tier,score,name,description,reasons
4968562,20-45301-RNVS,RNVS,strict,123,5354 Magazine RNVS - RCC Stamped.pdf,Renovation of existing one-story building to become amenity spaces for Poydras Home community. All work to be done as per plans TCO AS PER SFM--GOOD TILL 3-25-24 FINAL C.O. ISSUED 4-30-24,strict primary-plan filename | relevant permit scope | renovation permit
5114358,20-48257-RNVS,RNVS,strict,123,1008 Dauphine - VCC and RCC Stamped.pdf,"Interior and Exterior Renovations and Refurbishment of a 3-stry, 3947sqft, six-unit apartment building. All work to be done as per plans. Permit extended to 3-24-2024",strict primary-plan filename | relevant permit scope | renovation permit
5041359,20-50455-RNVS,RNVS,strict,123,937 Dumaine - VCC and RCC Stamped.pdf,"Renovation of an existing residential 8 unit building into 6 units. Improvements include new MEP throughout, fire separations, and renovations to interior spaces. The majority of exterior work will be to repair / replace in kind. 12-29-2022 Temporary Certificate of Occupancy issued for 60 days",strict primary-plan filename | relevant permit scope | renovation permit
4964802,21-03723-RNVS,RNVS,strict,123,721 St Philip - RCC Stamped.pdf,"School Use (Homer A. Plessy Community School-NOLA Public Schools). The purpose of this project is to replace termite-damaged attic joists and roof rafters, within the attic area of the school building. See drawings for additional information. INTERIOR WORK ONLY",strict primary-plan filename | relevant permit scope | renovation permit
5080489,21-06472-RNVS,RNVS,strict,123,1929 Louisiana - RCC Stamped.pdf,Renovation of an existing boarding house into a bed and breakfast that sleeps 15 people. All work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
4892053,21-07054-RNVS,RNVS,strict,123,500 Lake Marina - RCC Stamped.pdf,Replace exterior rotten/water damaged wood framing. Work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
4942911,21-08171-RNVS,RNVS,strict,123,1201 Coliseum floor plan c.pdf,"Renovation of Established Multifamily to 4 units - Carpentry work, sub floor and painting. Permit has been updated to include Electrical work for all units: 1201-1203 Coliseum St A-B. Permit extended (4) 180 day periods until December 21, 2024",strict primary-plan filename | relevant permit scope | renovation permit
5294204,21-12559-RNVS,RNVS,strict,123,A1.0 (RCC stamped).pdf,"Renovation. Scope of work to inlcude demo, roof flashing, framing, siding, trim, insulation, doors and windows, kitchen and bathroom renovation, mechanical, plumbing fixutres, electrical",strict primary-plan filename | relevant permit scope | renovation permit
5281487,21-13308-RNVS,RNVS,strict,123,632 St Peter - RCC Stamped.pdf,"RENOVATION OF EXISTING BUILDINGS TO ALLOW FOR EXPANSION OF EXISTING DINING ROOM. REMOVAL OF EXISTING FILLED IN ARCHWAY. HARDWARE, FURNISHINGS, FLOORING, PLUMBING, ELECTRICAL, MECHANICAL, ROOFING, AND PAINTING. ALL WORK TO BE DONE AS PER PLANS DATED 12/9/21. No exterior work under this permit. Any exterior work requires the approval of both the VCC and PRC.",strict primary-plan filename | relevant permit scope | renovation permit
5186626,21-21686-RNVS,RNVS,strict,123,floor plan (annotated per SOW).pdf,Interior build out. Now work on exterior.,strict primary-plan filename | relevant permit scope | renovation permit
6566087,21-21797-RNVS,RNVS,strict,123,2121 Chartres St - HDLC and RCC Stamped.pdf,"Structural renovation of existing building into 53 unit hotel. Project includes pool area and penthouse level. All work to be done as per plans and Conditional Use approval of 72/22. Swimming pool requires a separate permit. Permit extended (2) 180 day periods to May 25, 2027",strict primary-plan filename | relevant permit scope | renovation permit
5948600,21-30568-RNVS,RNVS,strict,123,924 Ursulines - RCC Stamped.pdf,This application is for the complete renovation of a two story Creole Cottage with complying with VCC Design Guidelines. All work to be done as per plans. Permit Reissued on 9-15-23 with Increase in Construction Costs,strict primary-plan filename | relevant permit scope | renovation permit
5637966,22-07406-RNVS,RNVS,strict,123,533 St Maurice - HDLC and RCC Stamped with notes.pdf,"Follow-up work previously performed under permit number #19-12445-HDLC. See attached drawings indicating the proposed exterior renovation scope of work including the following. Repair/Replace existing windows to match size, shape, and profile. Repair/Replace doors to match size and shape. Any new doors and windows will be submitted for HDLC review. Install front wrap-around awing to match historic as well as a small addition to the rear of the existing structure (approx. 5'-8"" x 26'-8""). NO USE OR OCCUPANCY UNDER THIS PERMIT, EXTERIOR WORK ONLY. Fence limited to 7' in height. Extend 180 days to June 20, 2024. Permit extended (1) 180 days periods until December 26, 2024 Permit extended (2) 180 day periods until December 26, 2025 Permit extended (2) 180 day periods to January 1, 2027 Carimi Construction and Development LLC is the contractor as of January 6, 2026",strict primary-plan filename | relevant permit scope | renovation permit
5635381,22-10468-RNVS,RNVS,strict,123,1700 Perdido - RCC Stamped.pdf,ENERGY IMPROVEMENTS - TULANE DOWNTOWN - PERDIDO BLDG. ALL WORK TO BE DONE AS PER PLANS.,strict primary-plan filename | relevant permit scope | renovation permit
5713284,22-10490-RNVS,RNVS,strict,123,1301 Audubon - RCC Stamped.pdf,ENERGY IMPROVEMENTS TULANE UPTOWN - CAMPUS. All work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
5710332,22-12463-RNVS,RNVS,strict,123,1430 Tulane - RCC Stamped.pdf,ENERGY IMPROVEMENTS TULANE DOWNTOWN - SCHOOL OF MEDICINE. All work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
6023357,22-16910-RNVS,RNVS,strict,123,230131- Area E Restrooms - Conformed Set (03.10.23 RCC stamped).pdf,Interior renovation to provide restrooms in an existing casino.,strict primary-plan filename | relevant permit scope | renovation permit
