doc_id,permit_num,code,score,tags,name,description,reasons
1726517,12-26240-NEWC,NEWC,147,architectural;commercial_use;plans_scope,ARCH CERT OF COMP150320084058_0001.pdf,Construct a 5550 sq ft office building for NOPD Mounted Division per plans. Building D. Now designated as Building C as per revised site plan.,filename signal: architectural
3988033,18-04638-RNVS,RNVS,147,architectural;commercial_use;plans_scope,._Stamped Architectural Set 3319 St. Claude Ave..pdf,Construct 500 sqft addition to an existing office as per plans.,filename signal: architectural
4032149,19-15999-NEWC,NEWC,147,floor_layout;plans_scope;sheet_a,14-RISERS _2414 GRAVIER-4 PLEX_SPRINGER-A-2 FLOOR PLANS.pdf,New Construction of a multi family dwelling as per plans,filename signal: floor_layout | filename signal: sheet_a
4898114,21-09850-NEWC,NEWC,147,architectural;commercial_use;plans_scope,1000 Canal - ARC Package - 2021.04.08.pdf,New construction 10-story hotel with ground floor commercial as per plans.,filename signal: architectural
8281166,25-13824-RNVS,RNVS,147,commercial_use;interior_scope;permit_cd_set;plans_scope,RCC - BACKFLOW APPROVED - HDLC Reviewed _250505 - 5724 Magazine St - Permit Set_NLH.pdf,Renovation of existing building with white box commercial space on ground floor and 2 apartments on second floor. All work to be done as per plans.,filename signal: permit_cd_set
4764063,20-04350-RNVS,RNVS,145,architectural;interior_scope,1320 Lowerline - Arch Final Inspection.pdf,Remodel of an existing multi-family Residence,filename signal: architectural
5587590,22-18980-RNVS,RNVS,145,architectural;interior_scope,710 Canal Street - ARC Package 1 - Part I - 2022.06.23.pdf,"Renovation of an existing four story building, including new Canal Street storefront, rear balconies, and roof deck.",filename signal: architectural
7249329,24-14124-RNVN,RNVN,145,architectural;interior_scope,Architecture set_Tulane (RCC).pdf,Tenant Build Out for a new grocery store (INTERIOR BUILDOUT ONLY UNDER THIS PERMIT) (BUILDING WILL BE CONSTRUCTED UNDER 24-01393-NEWC) TEMPORARY CERTIFICATE OF OCCUPANCY (until parking area zoning deficiencies are satisfied) FINAL CERTIFICATE OF OCCUPANCY ISSUED 9-14-25,filename signal: architectural
7830175,25-00995-RNVN,RNVN,145,architectural;interior_scope,2025-01-07 Burlington New Orleans_LA_premit Arch dwgs.pdf,A new Burlington store tenant interior build out combining and converting two previous matt tenant spaces. This project also includes minor interior facade work at the main entrance from the mall.,filename signal: architectural
1381157,14-11290-NEWC,NEWC,140,commercial_use;finish,IW-2.1 Branch Finish Plan Liberty Bank Gentilly 06.30.14.pdf,New construction of a Liberty Bank Branch w/retail space as per City Planning Commission DR 027-14 . Signs require separate permit.,filename signal: finish
4821903,19-70481-NEWC,NEWC,140,commercial_use;finish,1730 Clio - Finish Construction Elevation Cert.pdf,New construction of a two-story 9936 sq ft hotel (R-1) as per plan,filename signal: finish
3302861,16-18097-NEWC,NEWC,137,approved_plans;commercial_use;interior_scope;plans_scope,SFM_ Approved Plan_4221 Old Gentilly.PDF,"Construct single story 11,840 sf retail building as per plans. Each tenant will require a separate build-out and sign permit. UNit A and Unit B.",filename signal: approved_plans
4558827,20-23676-RNVS,RNVS,137,approved_plans;commercial_use;interior_scope;plans_scope,4645 Freret - RCC Stamped.pdf,"Alterations and additions (4955sqft) to existing (9985sqft) retail building for new retail market. Total square footage to be 14940sqft. Scope includes demolition, site work, structural, plumbing and mechanical and electrical work for complete renovation and new addition to all be done as per plans. ***As of 5/3/2021 - No CO until maintenance order from owner***",filename signal: approved_plans
4554663,20-31898-RNVS,RNVS,137,approved_plans;commercial_use;interior_scope;plans_scope,8015 S Maple - RCC Stamped.pdf,Renovation of an existing building into a dentist's office as per plans.,filename signal: approved_plans
4628485,20-35437-RNVS,RNVS,137,approved_plans;commercial_use;interior_scope;plans_scope,1419 Amelia - RCC Stamped.pdf,Renovation of existing one-story medical office building as per plans.,filename signal: approved_plans
6566087,21-21797-RNVS,RNVS,137,approved_plans;commercial_use;interior_scope;plans_scope,2121 Chartres St - HDLC and RCC Stamped.pdf,"Structural renovation of existing building into 53 unit hotel. Project includes pool area and penthouse level. All work to be done as per plans and Conditional Use approval of 72/22. Swimming pool requires a separate permit. Permit extended (2) 180 day periods to May 25, 2027",filename signal: approved_plans
5760069,22-18591-RNVS,RNVS,137,approved_plans;commercial_use;interior_scope;plans_scope,747 St Charles - HDLC and RCC Stamped.pdf,Phase II-Interior build-out of 7-unit hotel with commercial lease space on ground floor to be built as per plans. Phase I permit:22-06494-RNVN; Pool permit 22-06881-POOL,filename signal: approved_plans
6126328,22-19111-RNVS,RNVS,137,approved_plans;commercial_use;interior_scope;plans_scope,838 Canal - HDLC and RCC Stamped.pdf,"Renovation of an existing 3-story masonry commercial building with 2224sf with a 188sf mezzanine. First floor build-out for a new restaurant. Work to include all new mechanical, electrical, and plumbing service, kitchen hood and exhaust, new finishes and modifications of the storefront. Provide a new enclosed stair from first floor to second floor. Join new stair enclosure with the existing stair flight to the third floor. Add new mechanical stair from the third floor to the roof for access to new rooftop mechanical equipment servicing new ground floor restaurant. Second and third floors are to remain vacant and will require separate permit(s) to build out. All work to be done as per plans.",filename signal: approved_plans
6024832,22-23395-RNVS,RNVS,137,approved_plans;commercial_use;interior_scope;plans_scope,1300 OC Haley Blvd Ste B - RCC Stamped.pdf,"Interior build-out of 8,900 sq. ft. clinic on ground floor of mixed use development. All work to be done as per plans. *Address corrected from Ste A to Ste B",filename signal: approved_plans
7820245,24-16471-RNVS,RNVS,137,approved_plans;commercial_use;interior_scope;plans_scope,333 N Diamond St - HDLC and RCC Stamped.pdf,"Change of Use and Renovation: An existing warehouse that will be renovated, structurally modified, and will become an 8 unit group lodging hotel. All work to be done as per plans. NO USE OR OCCUPANCY UNDER THIS TCO",filename signal: approved_plans
8411264,24-16695-NEWC,NEWC,137,approved_plans;commercial_use;interior_scope;plans_scope,1304 Saint Charles - RCC Stamped.pdf,"A NEW CONSTRUCTION 5-STORY, 14,737SF MIXED-USE STRUCTURE, WHICH INCLUDES: WHITE BOX FOR FUTURE RETAIL TENANT, (4) SINGLE FAMILY RESIDENTIAL UNITS, AND A ROOFTOP POOL DECK. ALL WORK TO BE DONE AS PER PLANS. POOL REQUIRES SEPARATE POOL PERMIT *FINAL INSPECTION* Final FEMA elevation certificate +5.2 NAVD. Areas below the BFE of +5.2 NAVD can only be used for storage, parking, or access and must contain compliant flood vents and flood damage-resistant materials FOUNDATION RELEASE ISSUED 12-9-24 *APPROVAL DPW DEFERRED- PROVIDE DOCUMENTATON OF APPROVAL IN ORDER TO OBTAIN STAMPED APPROVED DRAWINGS*",filename signal: approved_plans
8022399,24-29895-RNVS,RNVS,137,approved_plans;commercial_use;interior_scope;plans_scope,905 Royal - VCC and RCC Stamped.pdf,"Interior, structural reno of existing historic hotel building. Configured into 3 separate rental areas (6 bedrooms total). New kitchens and living areas on first floors. New MEP throughout. All work to be done as per plans. **FINAL INSPECTION** NEED UPDATED FEMA SHOWING ELEVATION OF THE LOWEST MACHINERY/ EQUIPMENT SERVICING THE STRUCTURE. VERIFY IT IS ABOVE ELEVATION REQUIREMENT",filename signal: approved_plans
7689814,24-32503-RNVS,RNVS,137,approved_plans;commercial_use;interior_scope;plans_scope,HDLC Approved_1800 HASTINGS_CD_10.23.24 (RCC stamped).pdf,Renovation of commercial building as per plans. - white box only -,filename signal: approved_plans
7968695,25-00537-RNVS,RNVS,137,approved_plans;commercial_use;interior_scope;plans_scope,1300 Richland - RCC Stamped.pdf,RENOVATION OF AN EXISTING BUILDING TO RESTAURANT/BAR/EVENT SPACE.- NEW COMMERCIAL KITCHEN AND DINING AREA ON THE FIRST FLOOR. NEW SCREENED IN PORCH. NO WORK ON SECOND FLOOR AT THIS TIME. ALL WORK TO BE DONE AS PER PLANS.,filename signal: approved_plans
4335699,19-12611-RNVS,RNVS,135,commercial_use;interior_scope;permit_cd_set,191011_3219_st_claude_ave_-_str_permit_set.pdf,"RENOVATION OF A VACANT RESIDENCE TO A 2 FAMILY DWELLING AS A COMMERCIAL STR (STR Unit 1: 5 bedroom & STR Unit 2: 3 bedrooms) . ALL MECHANICAL, ELECTRICAL, AND PLUMBING TO BE UNDER $15,000.",filename signal: permit_cd_set
4025495,19-18101-RNVS,RNVS,135,commercial_use;interior_scope;permit_cd_set,2019_0604 - 5900 Magazine - Construction Documents.pdf,Partial renovation of existing one story restaurant.,filename signal: permit_cd_set
